iter	RMSE
0	4.715346725
1	4.637084496
2	4.556843517
3	4.484753787
4	4.423342257
5	4.346545908
6	4.278959952
7	4.209203757
8	4.152236726
9	4.089307707
10	4.028526509
11	3.966952553
12	3.908772105
13	3.855717623
14	3.802999259
15	3.742944027
16	3.679132629
17	3.631010388
18	3.573774664
19	3.52602818
20	3.484168621
21	3.435608136
22	3.390788795
23	3.339392048
24	3.286199944
25	3.246773644
26	3.198345082
27	3.159287024
28	3.12466028
29	3.081522475
30	3.041484726
31	3.000215863
32	2.971695011
33	2.933934147
34	2.898067756
35	2.863855335
36	2.829266529
37	2.790783701
38	2.752195876
39	2.719202852
40	2.690357761
41	2.676074348
42	2.644267852
43	2.610172141
44	2.576206971
45	2.545402497
46	2.518529849
47	2.486597544
48	2.461810409
49	2.430156633
50	2.400836036
51	2.372013081
52	2.348730696
53	2.328069752
54	2.302131594
55	2.276274309
56	2.25159584
57	2.23378369
58	2.2231562
59	2.199355878
60	2.175099813
61	2.149019194
62	2.126317458
63	2.10392002
64	2.091540473
65	2.069222982
66	2.046653237
67	2.023406806
68	2.002740159
69	1.984354091
70	1.96471766
71	1.945309373
72	1.93125959
73	1.916280575
74	1.899028189
75	1.88121575
76	1.86218792
77	1.848274535
78	1.83050429
79	1.818820931
80	1.799291472
81	1.786018688
82	1.769527044
83	1.757856336
84	1.742076877
85	1.725819505
86	1.709134523
87	1.690468198
88	1.67436171
89	1.661222732
90	1.648553437
91	1.633979281
92	1.621292749
93	1.608120169
94	1.58905659
95	1.573338914
96	1.559260796
97	1.544082432
98	1.53238392
99	1.51692071
100	1.507635425
101	1.49810893
102	1.485449662
103	1.472448204
104	1.462921376
105	1.452152833
106	1.442216338
107	1.428642512
108	1.417145883
109	1.405098408
110	1.393512531
111	1.384711974
112	1.375342248
113	1.366299246
114	1.354981103
115	1.34648677
116	1.337211675
117	1.325996501
118	1.314607212
119	1.301397983
120	1.291936549
121	1.281258188
122	1.273400599
123	1.263275167
124	1.252877238
125	1.245569079
126	1.234057925
127	1.225432074
128	1.21929114
129	1.211715176
130	1.201176746
131	1.193593229
132	1.187033452
133	1.179808006
134	1.173127731
135	1.162277698
136	1.156147689
137	1.14991722
138	1.142806268
139	1.133476448
140	1.124644336
141	1.115994428
142	1.110996893
143	1.106048892
144	1.100681225
145	1.095260869
146	1.084475617
147	1.078876042
148	1.071283785
149	1.065825643
150	1.059245576
151	1.051296434
152	1.042483874
153	1.035201607
154	1.031221949
155	1.023620329
156	1.015971496
157	1.005336264
158	0.9963857816
159	0.990432772
160	0.9820328833
161	0.9783382846
162	0.9701224086
163	0.966525799
164	0.9626930604
165	0.9555222289
166	0.9497723811
167	0.9454875243
168	0.941377476
169	0.933638001
170	0.9303450875
171	0.9256338983
172	0.9194021344
173	0.9153328989
174	0.9093153304
175	0.9026247596
176	0.8997394328
177	0.8931687614
178	0.8865495777
179	0.8832374702
180	0.8767827929
181	0.8733743038
182	0.8680318613
183	0.8652318947
184	0.8606052293
185	0.8567645935
186	0.8521615328
187	0.8481921905
188	0.8460995458
189	0.8422045471
190	0.8373531009
191	0.8326718318
192	0.8309264894
