iter	Passed	Remaining
0	0	349
1	0	324
2	0	296
3	1	264
4	1	264
5	1	248
6	1	251
7	2	256
8	2	254
9	2	255
10	2	257
11	3	257
12	3	257
13	3	258
14	3	257
15	4	263
16	4	261
17	4	259
18	5	259
19	5	260
20	5	258
21	5	257
22	6	256
23	7	284
24	7	284
25	7	279
26	7	277
27	7	273
28	8	272
29	8	271
30	8	270
31	8	271
32	9	270
33	9	269
34	9	268
35	9	266
36	10	264
37	10	264
38	10	260
39	10	260
40	11	259
41	11	258
42	11	257
43	11	254
44	11	253
45	12	253
46	12	253
47	12	253
48	12	249
49	13	247
50	13	247
51	13	247
52	13	247
53	14	248
54	14	248
55	14	247
56	14	246
57	15	245
58	15	245
59	15	244
60	15	244
61	16	244
62	16	243
63	16	243
64	16	243
65	17	243
66	17	243
67	17	242
68	17	242
69	18	242
70	18	241
71	18	241
72	18	240
73	19	240
74	19	240
75	19	240
76	19	239
77	20	239
78	20	239
79	20	239
80	21	240
81	21	239
82	21	239
83	21	237
84	22	237
85	22	237
86	22	237
87	22	236
88	23	236
89	23	235
90	23	235
91	23	233
92	23	232
93	24	231
94	24	231
95	24	231
96	24	231
97	25	231
98	25	231
99	25	230
100	25	230
101	26	228
102	26	228
103	26	228
104	26	228
105	26	226
106	27	225
107	27	226
108	27	225
109	27	225
110	28	224
111	28	224
112	28	224
113	28	224
114	29	224
115	29	224
116	29	223
117	29	223
118	30	222
119	30	222
120	30	222
121	30	221
122	31	222
123	31	222
124	31	222
125	31	221
126	32	222
127	32	222
128	32	220
129	32	220
130	33	220
131	33	220
132	33	219
133	33	219
134	34	219
135	34	219
136	34	218
137	35	218
138	35	218
139	35	217
140	35	217
141	35	217
142	36	217
143	36	216
144	36	217
145	37	216
146	37	216
147	37	216
148	37	216
149	38	216
150	38	216
151	38	216
152	39	216
153	39	216
154	39	215
155	39	215
156	40	215
157	40	215
158	40	214
159	40	214
160	41	214
161	41	213
162	41	213
163	41	212
164	41	211
165	42	211
166	42	212
167	42	211
168	43	211
169	43	211
170	43	210
171	43	210
172	43	209
173	44	209
174	44	209
175	44	209
176	44	208
177	44	207
178	45	207
179	45	207
180	45	207
181	46	209
182	46	209
183	47	208
184	47	208
185	47	208
186	47	207
187	48	207
188	48	207
189	48	207
190	48	206
191	49	206
192	49	206
193	49	206
194	50	206
195	50	206
196	50	206
197	50	205
198	51	205
199	51	205
200	51	204
201	51	203
202	51	203
203	52	203
204	52	203
205	52	202
206	52	202
207	53	202
208	53	201
209	53	201
210	53	201
211	54	200
212	54	200
213	54	199
214	54	199
215	54	199
216	55	198
217	55	198
218	55	198
219	55	197
220	56	197
221	56	197
222	56	196
223	56	196
224	56	196
225	57	195
226	57	196
227	57	195
228	58	195
229	58	195
230	58	195
231	58	195
232	59	194
233	59	194
234	59	194
235	59	194
236	60	193
237	60	193
238	60	193
239	60	193
240	61	193
241	61	192
242	61	192
243	62	192
244	62	191
245	62	191
246	62	191
247	63	191
248	63	190
249	63	190
250	63	190
251	64	190
252	64	189
253	64	189
254	64	189
255	65	189
256	65	189
257	65	188
258	65	188
259	66	188
260	66	188
261	66	188
262	67	187
263	67	187
264	67	187
265	67	186
266	67	186
267	68	186
268	68	186
269	68	186
270	69	185
271	69	185
272	69	184
273	69	184
274	69	184
275	70	184
276	71	185
277	71	185
278	71	185
279	71	185
280	72	184
281	72	185
282	73	185
283	73	185
284	73	185
285	74	184
286	74	184
287	74	184
288	74	183
289	75	183
290	75	183
291	75	183
292	75	182
293	76	182
294	76	182
295	76	181
296	76	181
297	77	181
298	77	181
299	77	181
300	77	180
301	78	180
302	78	180
303	78	180
304	78	179
305	79	179
306	79	179
307	79	179
308	79	178
309	80	178
310	80	178
311	80	178
312	81	177
313	81	177
314	81	177
315	81	176
316	81	176
317	82	176
318	82	176
319	82	175
320	82	175
321	83	175
322	83	174
323	83	174
324	83	174
325	84	174
326	84	173
327	84	173
328	84	173
329	85	172
330	85	172
331	85	172
332	85	171
333	86	171
334	86	171
335	86	170
336	86	170
337	86	170
338	87	169
339	87	169
340	87	169
341	88	169
342	88	169
343	88	169
344	88	168
345	89	168
346	89	168
347	89	167
348	89	167
349	90	167
350	90	167
351	90	167
352	91	166
353	91	166
354	91	166
355	91	166
356	92	165
357	92	165
358	92	165
359	92	165
360	93	164
361	93	164
362	93	164
363	93	163
364	94	163
365	94	163
366	94	163
367	94	162
368	95	162
369	95	162
370	95	162
371	95	161
372	96	161
373	96	161
374	96	161
375	96	160
376	97	160
377	97	160
378	97	160
379	98	160
380	98	159
381	98	159
382	98	159
383	99	159
384	99	158
385	99	158
386	99	158
387	100	158
388	100	157
389	100	157
390	100	157
391	101	156
392	101	156
393	101	156
394	101	156
395	102	155
396	102	155
397	102	155
398	103	155
399	103	154
400	103	154
401	103	154
402	104	154
403	104	154
404	104	153
405	104	153
406	105	153
407	105	153
408	105	152
409	106	152
410	106	152
411	106	152
412	106	151
413	107	151
414	107	151
415	107	151
416	107	150
417	108	150
418	108	150
419	108	150
420	108	149
421	109	149
422	109	149
423	109	149
424	109	148
425	110	148
426	110	148
427	110	148
428	111	147
429	111	147
